Countries and areas,Children 0-14,Adolescents 10–19,Adolescent girls 10–19,Adolescent boys 10–19,Children 0-14,Adolescents 10–19,Adolescent girls 10–19,Adolescent boys 10–19,Children 0-9,Adolescents 10–19,Adolescent girls 10–19,Adolescent boys 10–19
Mali,0.33,0.08,0.12,0.04,9.04,3.91,3.58,4.23,"6,400","6,000","3,100","2,900"
Malta,-,-,-,-,-,-,-,-,-,-,-,-
Marshall Islands,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,0.18,0.04,0.05,0.02,3.92,1.63,1.54,1.72,530,<500,<500,<200
Mauritius,0.09,0.31,0.44,0.21,-,-,-,-,<100,<200,<100,<100
Mexico,0.05,0.2,0.11,0.3,1.04,0.19,0.15,0.23,"2,400","8,400","2,700","5,800"
Micronesia (Federated States of),-,-,-,-,-,-,-,-,-,-,-,-
Monaco,-,-,-,-,-,-,-,-,-,-,-,-
Mongolia,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,-,-,-,-,-,-,-,-,-,-,-,-
Montserrat,-,-,-,-,-,-,-,-,-,-,-,-
Morocco,0.03,<0.01,0.01,<0.01,0.45,0.06,0.07,0.06,690,540,<500,<500
Mozambique,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,0.35,0.43,0.46,0.39,4.58,0.97,1.16,0.79,"6,600","12,000","6,300","5,300"
Namibia,1.33,4.3,7.64,1,26.72,29.36,31.73,26.97,"3,400","12,000","7,000","4,700"
Nauru,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,0.02,<0.01,<0.01,<0.01,0.18,0.03,0.03,0.03,660,"1,100",540,540
Netherlands,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,0.04,0.22,0.15,0.28,0.61,0.32,0.32,0.31,<200,520,<500,<500
Niger,0.08,0.01,0.02,<0.01,1.95,1.1,1,1.19,"1,900","2,100","1,100","1,100"
Nigeria,0.71,0.32,0.58,0.06,17.94,6.45,6.64,6.28,"1,30,000","1,20,000","71,000","50,000"
Niue,-,-,-,-,-,-,-,-,-,-,-,-
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-
Norway,-,-,-,-,-,-,-,-,-,-,-,-
Oman,0.03,0.08,0.06,0.1,0.51,<0.01,<0.01,<0.01,<100,<100,<100,<100
Pakistan,-,-,-,-,0.66,0.06,0.05,0.06,"4,100","3,000","1,300","1,700"
Palau,-,-,-,-,-,-,-,-,-,-,-,-
Panama,-,-,-,-,-,-,-,-,-,-,-,-
Papua New Guinea,0.55,0.31,0.49,0.15,9.32,1.13,1.17,1.2,"2,500","2,500","1,400","1,100"
Paraguay,0.11,0.2,0.15,0.24,2.42,0.37,0.46,0.29,<500,590,<500,<500
Peru,0.07,0.04,0.05,0.03,1.04,0.25,0.22,0.23,"1,100","1,000",540,<500
Philippines,0.02,0.33,0.07,0.58,0.25,0.16,0.05,0.25,690,"8,000",860,"7,100"
Poland,-,-,-,-,-,-,-,-,-,-,-,-
Portugal,-,-,-,-,-,-,-,-,-,-,-,-
Qatar,-,-,-,-,-,-,-,-,-,-,-,-
Republic of Korea,-,-,-,-,-,-,-,-,-,-,-,-
Republic of Moldova,0.12,0.16,0.17,0.16,2.86,<0.01,<0.01,<0.01,<200,<200,<100,<100
Romania,0.02,0.01,0.01,<0.01,0.27,<0.01,<0.01,<0.01,<200,<200,<100,<100
Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-
Rwanda,0.42,0.3,0.54,0.05,7.19,6.71,6.43,7,"5,300","14,000","7,400","6,400"
Saint Kitts and Nevis,-,-,-,-,-,-,-,-,-,-,-,-
Saint Lucia,-,-,-,-,-,-,-,-,-,-,-,-
Saint Vincent and the Grenadines,-,-,-,-,-,-,-,-,-,-,-,-
Samoa,-,-,-,-,-,-,-,-,-,-,-,-
San Marino,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,0.14,0.03,0.04,0.01,3.77,2.44,2.26,2.62,"2,400","3,300","1,700","1,600"
Serbia,-,-,-,-,-,-,-,-,-,-,-,-
Seychelles,-,-,-,-,-,-,-,-,-,-,-,-
Sierra Leone,1.43,0.75,1.2,0.31,38.72,15.21,14.39,16.02,"7,600","8,000","4,600","3,400"
Singapore,-,-,-,-,-,-,-,-,-,-,-,-
Slovakia,-,-,-,-,-,-,-,-,-,-,-,-
Slovenia,-,-,-,-,-,-,-,-,-,-,-,-
Solomon Islands,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,0.02,<0.01,<0.01,<0.01,0.87,0.74,0.72,0.76,500,700,<500,<500
South Africa,1.85,7.19,12.66,1.95,16.82,26.98,30.77,23.23,"1,30,000","3,20,000","2,00,000","1,20,000"
South Sudan,1.37,0.99,1.53,0.47,32.15,10.61,10.76,10.47,"11,000","10,000","6,000","4,200"
Spain,-,-,-,-,-,-,-,-,-,-,-,-
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-
State of Palestine,-,-,-,-,-,-,-,-,-,-,-,-
Sudan,0.08,0.04,0.05,0.03,1.96,0.59,0.59,0.58,"2,400","2,100","1,100",950
Suriname,0.28,0.21,0.32,0.11,3.96,<0.01,<0.01,<0.01,<100,<200,<100,<100
Sweden,-,-,-,-,-,-,-,-,-,-,-,-
Switzerland,-,-,-,-,-,-,-,-,-,-,-,-
Syrian Arab Republic,-,-,-,-,-,-,-,-,-,-,-,-
Tajikistan,0.06,0.04,0.06,0.02,1.21,0.05,0.1,0.1,640,<500,<500,<200
Thailand,0.01,0.21,0.14,0.29,0.84,0.98,0.96,1,640,"6,100","2,700","3,400"
Timor-Leste,-,-,-,-,-,-,-,-,-,-,-,-
Togo,0.83,0.32,0.58,0.07,20.2,10.66,10.08,11.34,"5,300","8,300","4,500","3,800"
Tokelau,-,-,-,-,-,-,-,-,-,-,-,-
Tonga,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,-,-,-,-,-,-,-,-,-,-,-,-
Tunisia,0.02,0.01,0.02,<0.01,0.54,0.06,0.12,0.11,<200,<100,<100,<100
Türkiye,-,-,-,-,-,-,-,-,-,-,-,-
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-
Turks and Caicos Islands,-,-,-,-,-,-,-,-,-,-,-,-
Tuvalu,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,0.82,1.64,3.02,0.29,19.92,13.99,14,13.98,"49,000","98,000","59,000","40,000"
Ukraine,0.06,0.05,0.06,0.04,0.89,0.24,0.22,0.25,"1,300","2,700","1,400","1,400"
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-
United Kingdom,-,-,-,-,-,-,-,-,-,-,-,-
United Republic of Tanzania,0.96,1,1.6,0.41,23.52,11.99,12.4,11.58,"61,000","96,000","54,000","42,000"
United States,<0.01,0.05,0.02,0.09,0.14,0.04,0.03,0.05,"1,000","5,400","2,000","3,400"
Uruguay,0.16,0.09,0.13,0.05,1.53,0.22,<0.01,<0.01,<200,<200,<100,<100
Uzbekistan,0.06,0.05,0.05,0.05,1.91,0.55,0.52,0.53,"3,700","4,500","2,300","2,200"
Vanuatu,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela (Bolivarian Republic of),-,-,-,-,5.21,1.58,1.67,1.46,"2,700","4,800","2,000","2,800"
Viet Nam,0.05,0.03,0.03,0.02,0.6,0.04,0.05,0.03,"3,000","3,700","1,800","1,900"
Yemen,-,-,-,-,-,-,-,-,-,-,-,-
Zambia,1.25,2.94,5.09,0.84,28.31,26.96,28.73,25.21,"40,000","72,000","44,000","28,000"
Zimbabwe,1.92,1.77,3.12,0.43,41.3,38.13,37.53,38.79,"36,000","77,000","42,000","35,000"
